Server Name	ServerName	IPAddressOfSQLServer	name	last_backup_time	recovery_model_desc	state_desc	backup_type	physical_device_name
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	model	Mar 15 2026  1:00AM	FULL	ONLINE	Full database	X:\model\model_backup_2026_03_15_010002_3576664.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	msdb	Mar 15 2026  1:00AM	SIMPLE	ONLINE	Full database	X:\msdb\msdb_backup_2026_03_15_010002_3576664.bak
FP_DR_DB - 10.182.8.53 DRof 10.71.36.16_2	FPBDRFPDB	10.182.8.53	PBFPRESPOSITORY	Sep 20 2025 12:32AM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.182.8.53_DR_BACKUP\PBFPRESPOSITORY_20092025.BAK
FP_DR_DB - 10.182.8.53 DRof 10.71.36.16_2	FPBDRFPDB	10.182.8.53	HSM_Configuration_DB_FPB	Sep 12 2024  1:30AM	FULL	ONLINE	Differential database	T:\HSM_Configuration_DB_FPB_backup_2024_09_12_013004_8452260.bak
FP_DR_DB - 10.182.8.53 DRof 10.71.36.16_2	FPBDRFPDB	10.182.8.53	PBFPRESPOSITORY	Sep 12 2024  1:30AM	FULL	ONLINE	Differential database	T:\PBFPRESPOSITORY_backup_2024_09_12_013004_8452260.bak
FP_DR_DB - 10.182.8.53 DRof 10.71.36.16_2	FPBDRFPDB	10.182.8.53	HSM_Configuration_DB_FPB	Sep  8 2024  8:50AM	FULL	ONLINE	Full database	G:\HSM_Configuration_DB_FPB_backup_2024_09_08_010010_9673066.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	AUDIT	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	U:\AUDIT\AUDIT_backup_2026_03_20_010001_5329869.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	Migration_Data	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	U:\Migration_Data\Migration_Data_backup_2026_03_20_010001_5329869.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	model	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	U:\model\model_backup_2026_03_20_010001_5324240.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	msdb	Mar 20 2026  1:00AM	SIMPLE	ONLINE	Differential database	U:\msdb\msdb_backup_2026_03_20_010001_5329869.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	AUDIT	Mar 15 2026  6:58AM	FULL	ONLINE	Full database	X:\AUDIT\AUDIT_backup_2026_03_15_010001_4213289.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	master	Mar 15 2026  1:00AM	SIMPLE	ONLINE	Full database	X:\master\master_backup_2026_03_15_010001_4213289.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	Migration_Data	Mar 15 2026  1:00AM	FULL	ONLINE	Full database	X:\Migration_Data\Migration_Data_backup_2026_03_15_010001_4213289.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	model	Mar 15 2026  1:00AM	FULL	ONLINE	Full database	X:\model\model_backup_2026_03_15_010001_4213289.bak
VIKRANSQLDB1-10.181.12.14	VIKRANSQLDB1	10.181.12.14	msdb	Mar 15 2026  1:00AM	SIMPLE	ONLINE	Full database	X:\msdb\msdb_backup_2026_03_15_010001_4213289.bak
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	10.91.9.51	Audit	Mar 20 2026  2:00AM	FULL	ONLINE	Differential database	U:\Diff\Audit\Audit_backup_2026_03_20_020001_7968963.bak
PRODRFMSDB01-10.91.9.51	PRODRFMSDB01	10.91.9.51	model	Mar 20 2026  2:00AM	FULL	ONLINE	Differential database	U:\Diff\model\model_backup_2026_03_20_020001_7968963.bak
